City,Country,Latitude,Longitude,Date,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Rikitea,PF,-23.12,-134.97,1563121148,74.39,85,7,16.44
Lompoc,US,34.64,-120.46,1563121148,62.49,93,20,5.82
Ushuaia,AR,-54.81,-68.31,1563121149,39.2,93,40,5.82
Kapaa,US,22.08,-159.32,1563121149,75.07,90,20,4.7
Two Hills,CA,53.71,-111.75,1563121149,62.87,84,85,5.26
Tura,RU,64.27,100.22,1563121149,62.33,79,100,2.71
Mar del Plata,AR,-46.43,-67.52,1563121149,41.27,68,99,4.05
Albany,US,42.65,-73.75,1563120919,79.27,65,75,8.05
East London,ZA,-33.02,27.91,1563121150,64.4,77,0,10.29
Tuktoyaktuk,CA,69.44,-133.03,1563121150,57.2,82,75,4.7
Marquette,US,46.54,-87.4,1563121010,76.53,36,5,11.41
Nome,US,30.04,-94.42,1563121150,81.75,78,75,6.93
Marsaxlokk,MT,35.84,14.54,1563121151,83.39,66,20,9.17
Arraial do Cabo,BR,-22.97,-42.02,1563121151,81.54,54,0,5.82
Khatanga,RU,71.98,102.47,1563121151,56.03,53,0,9.37
Salalah,OM,17.01,54.1,1563121151,78.17,87,94,13.62
Punta Arenas,CL,-53.16,-70.91,1563121152,34.36,100,40,11.41
Staunton,US,38.15,-79.07,1563121152,86.29,51,1,6.33
Baijiantan,CN,45.63,85.18,1563121152,80.15,23,10,6.15
Ushtobe,KZ,45.25,77.98,1563121153,86.27,26,0,10.22
Busselton,AU,-33.64,115.35,1563121153,49.32,60,30,19.53
Nikolskoye,RU,59.7,30.79,1563121153,59.94,51,20,6.71
Hermanus,ZA,-34.42,19.24,1563121153,55.24,90,44,20.78
Wanning,AT,48.64,13.53,1563121153,63.43,87,75,5.82
Flinders,AU,-34.58,150.85,1563121154,53.6,58,100,27.51
Ukiah,US,39.15,-123.21,1563121154,66.13,49,1,2.28
Puerto Suarez,BO,-18.96,-57.8,1563121154,81.46,58,40,4.7
Hilo,US,19.71,-155.08,1563121155,71.87,69,90,4.7
Zhezkazgan,KZ,47.8,67.71,1563121155,90.41,15,0,10.58
Mount Gambier,AU,-37.83,140.78,1563121155,50.0,81,75,17.22
Saint-Philippe,CA,45.36,-73.48,1563121155,73.76,60,90,5.82
Aripuana,BR,-9.17,-60.63,1563121156,92.39,37,0,4.23
Bonavista,CA,48.65,-53.11,1563121156,51.01,83,95,7.0
Jamestown,AU,-33.21,138.6,1563121156,44.87,95,56,9.06
Touros,BR,-5.2,-35.46,1563121156,79.43,80,0,16.49
Clyde River,CA,70.47,-68.59,1563121157,42.8,93,75,12.75
Alice Springs,AU,-23.7,133.88,1563121138,39.2,55,0,2.24
Barreiras,BR,-12.14,-45.0,1563121157,88.25,26,0,5.19
Pevek,RU,69.7,170.27,1563121157,34.07,94,100,10.49
Georgetown,GY,6.8,-58.16,1563120935,84.02,70,75,11.41
